AvailabilityZone,AvailabilityZoneId,AvailableIpAddressCount,CidrBlock,DefaultForAz,MapPublicIpOnLaunch,MapCustomerOwnedIpOnLaunch,State,SubnetId,VpcId,OwnerId,AssignIpv6AddressOnCreation,Ipv6CidrBlockAssociationSet,Tags,SubnetArn
us-east-1c,use1-az1,21,10.206.222.64/27,False,False,False,available,subnet-0c10902bd1a35bd95,vpc-062224ed81107628f,93937234853,False,[],"[{'Key': 'AutoGoverned', 'Value': 'False'}, {'Key': 'Name', 'Value': 'cof-st-hztl-dns-dev-ue1-1 - Enterprise-Az3'}, {'Key': 'CMDBEnvironment', 'Value': 'ENVPPAWSPLATFORM'}, {'Key': 'OwnerContact', 'Value': 'SprintTeamSuperCell@capitalone.com'}, {'Key': 'c7n-enterprise', 'Value': 'True'}, {'Key': 'BA', 'Value': 'ASVAWSPLATFORM'}, {'Key': 'NetworkLocation', 'Value': 'EntFacing'}, {'Key': 'c7n-internal', 'Value': 'True'}, {'Key': 'ASV', 'Value': 'ASVAWSPLATFORM'}]",arn:aws:ec2:us-east-1:1234567890:subnet/subnet-0c10902bd1a35bd95
us-east-1b,use1-az6,27,10.203.9.160/27,False,False,False,available,subnet-0eb72656,vpc-dc314eb9,93937234853,False,[],"[{'Key': 'ASV', 'Value': 'ASVAWSPLATFORM'}, {'Key': 'Tier', 'Value': 'DB'}, {'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:us-east-1:1234567890:stack/Artemis-QA-Subnets-Nacl/be6440f0-d51c-11e5-a17a-500c217b4a9a'}, {'Key': 'NetworkLocation', 'Value': 'CustomSubnet'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'Subnet2'}, {'Key': 'Name', 'Value': 'HorizontalQAVPC - Artemis-DBPool-Az2'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'Artemis-QA-Subnets-Nacl'}, {'Key': 'CMDBEnvironment', 'Value': 'ENVPPAWSPLATFORM'}, {'Key': 'OwnerContact', 'Value': 'SprintTeamSuperCell@capitalone.com'}]",arn:aws:ec2:us-east-1:1234567890:subnet/subnet-0eb72656
us-east-1a,use1-az4,24,10.203.0.96/27,False,False,False,available,subnet-09cab1a4ab0356cdb,vpc-dc314eb9,93937234853,False,[],"[{'Key': 'CMDBEnvironment', 'Value': 'ENVPPAWSPLATFORM'}, {'Key': 'c7n-enterprise', 'Value': 'True'}, {'Key': 'BA', 'Value': 'ASVAWSPLATFORM'}, {'Key': 'Name', 'Value': 'Horizontal_QA_East_VPC-PonyExpress-3-Az-1a'}, {'Key': 'ASV', 'Value': 'ASVAWSPLATFORM'}, {'Key': 'NetworkLocation', 'Value': 'Enterprise'}, {'Key': 'OwnerContact', 'Value': 'SprintTeamSuperCell@capitalone.com'}, {'Key': 'c7n-internal', 'Value': 'True'}, {'Key': 'AutoGoverned', 'Value': 'False'}]",arn:aws:ec2:us-east-1:1234567890:subnet/subnet-09cab1a4ab0356cdb
us-east-1b,use1-az6,11,10.205.5.128/28,False,False,False,available,subnet-34f28a6d,vpc-6d304f08,93937234853,False,[],"[{'Key': 'CMDBEnvironment', 'Value': 'ENVPPAWSPLATFORM'}, {'Key': 'NetworkLocation', 'Value': 'CustomSubnet'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'Subnet5'}, {'Key': 'ASV', 'Value': 'ASVAWSPLATFORM'}, {'Key': 'Name', 'Value': 'HorizontalDevVPC - ChefPoolAz2'}, {'Key': 'OwnerContact', 'Value': 'SprintTeamSuperCell@capitalone.com'}, {'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:us-east-1:1234567890:stack/Chef-Dev-Subnets-NACL/9fdb7d70-2710-11e5-97b7-5001b34a4a0a'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'Chef-Dev-Subnets-NACL'}]",arn:aws:ec2:us-east-1:1234567890:subnet/subnet-34f28a6d
us-east-1a,use1-az4,9,10.203.63.32/28,False,False,False,available,subnet-6e147d27,vpc-dc314eb9,93937234853,False,[],"[{'Key': 'CMDBEnvironment', 'Value': 'ENVPPAWSPLATFORM'}, {'Key': 'c7n-enterprise', 'Value': 'True'}, {'Key': 'Name', 'Value': 'Horizontal QA East VPC - ASVVULMGMT AZ1'}, {'Key': 'NetworkLocation', 'Value': 'Enterprise'}, {'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:us-east-1:1234567890:stack/ASVVULMGMT-Horizontal-Infrastructure-QA/7e393a40-b0f3-11e6-9627-50d5cd274ad2'}, {'Key': 'c7n-internal', 'Value': 'True'}, {'Key': 'ASV', 'Value': 'ASVAWSPLATFORM'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'Subnet1'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'ASVVULMGMT-Horizontal-Infrastructure-QA'}, {'Key': 'OwnerContact', 'Value': 'SprintTeamSuperCell@capitalone.com'}]",arn:aws:ec2:us-east-1:1234567890:subnet/subnet-6e147d27
us-east-1b,use1-az6,10,10.205.7.16/28,False,False,False,available,subnet-9de76dc5,vpc-6d304f08,93937234853,False,[],"[{'Key': 'Name', 'Value': 'Horizontal-DEV-East-DNS-CACHE-SUBNET-AZ1'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'DNS-CACHE-INFRA-EAST-DEV'}, {'Key': 'NetworkLocation', 'Value': 'CustomSubnet'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'mySubnet1'}, {'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:us-east-1:1234567890:stack/DNS-CACHE-INFRA-EAST-DEV/100fd9c0-fb5e-11e5-a113-500c524058c6'}, {'Key': 'CMDBEnvironment', 'Value': 'ENVPPAWSPLATFORM'}, {'Key': 'OwnerContact', 'Value': 'SprintTeamSuperCell@capitalone.com'}, {'Key': 'ASV', 'Value': 'ASVAWSPLATFORM'}]",arn:aws:ec2:us-east-1:1234567890:subnet/subnet-9de76dc5
us-east-1d,use1-az2,11,10.203.6.96/28,False,False,False,available,subnet-fd3e6cd7,vpc-dc314eb9,93937234853,False,[],"[{'Key': 'CMDBEnvironment', 'Value': 'ENVPPAWSPLATFORM'}, {'Key': 'Name', 'Value': 'HorizontalQA - SafeNet-Pool-Az3'}, {'Key': 'OwnerContact', 'Value': 'SprintTeamSuperCell@capitalone.com'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'safenet-subnets-qa'}, {'Key': 'ASV', 'Value': 'ASVAWSPLATFORM'}, {'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:us-east-1:1234567890:stack/safenet-subnets-qa/489c7710-7690-11e5-8be2-50ba0727c06e'}, {'Key': 'NetworkLocation', 'Value': 'CustomSubnet'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'SubnetSafenet3'}]",arn:aws:ec2:us-east-1:1234567890:subnet/subnet-fd3e6cd7
us-east-1a,use1-az4,101,10.205.1.0/24,False,False,False,available,subnet-dc8a18ab,vpc-6d304f08,93937234853,False,[],"[{'Key': 'NetworkLocation', 'Value': 'Enterprise'}, {'Key': 'c7n-internal', 'Value': 'True'}, {'Key': 'Name', 'Value': 'Horizontal Dev East VPC - General1'}, {'Key': 'ASV', 'Value': 'ASVAWSPLATFORM'}, {'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:us-east-1:1234567890:stack/Horizontal-Dev-VPC/4045c9c0-b22f-11e4-a864-50fa52d244a8'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'Horizontal-Dev-VPC'}, {'Key': 'CMDBEnvironment', 'Value': 'ENVPPAWSPLATFORM'}, {'Key': 'c7n-enterprise', 'Value': 'True'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'PublicSubnet1'}, {'Key': 'OwnerContact', 'Value': 'SprintTeamSuperCell@capitalone.com'}]",arn:aws:ec2:us-east-1:1234567890:subnet/subnet-dc8a18ab
us-east-1a,use1-az4,27,10.203.5.128/27,False,False,False,available,subnet-8356dac9,vpc-dc314eb9,93937234853,False,[],"[{'Key': 'AutoGoverned', 'Value': 'False'}, {'Key': 'ASV', 'Value': 'ASVAWSPLATFORM'}, {'Key': 'BA', 'Value': 'ASVAWSPLATFORM'}, {'Key': 'Name', 'Value': 'Horizontal-QA-East-F5SSLo-SUBNET-AZ0'}, {'Key': 'NetworkLocation', 'Value': 'EntFacing'}, {'Key': 'c7n-internal', 'Value': 'True'}, {'Key': 'CMDBEnvironment', 'Value': 'ENVPPAWSPLATFORM'}, {'Key': 'OwnerContact', 'Value': 'SprintTeamSuperCell@capitalone.com'}, {'Key': 'c7n-enterprise', 'Value': 'True'}]",arn:aws:ec2:us-east-1:1234567890:subnet/subnet-8356dac9
us-east-1a,use1-az4,10,10.205.6.32/28,False,False,False,available,subnet-aa71dedc,vpc-6d304f08,93937234853,False,[],"[{'Key': 'Name', 'Value': 'Proxy - Dev - NAT Gateway AZ 1'}, {'Key': 'CMDBEnvironment', 'Value': 'ENVNPAWSPROXY'}, {'Key': 'OwnerContact', 'Value': 'kib547'}, {'Key': 'ASV', 'Value': 'ASVCLOUDPROXY'}, {'Key': 'NetworkLocation', 'Value': 'PublicOut'}, {'Key': 'aws:cloudformation:stack-id', 'Value': 'arn:aws:cloudformation:us-east-1:1234567890:stack/Proxy-Dev-Network/9c60b140-bfb0-11e5-b85b-50fae987c09a'}, {'Key': 'aws:cloudformation:logical-id', 'Value': 'NatGatewayAz1Subnet'}, {'Key': 'c7n-publicout', 'Value': 'True'}, {'Key': 'aws:cloudformation:stack-name', 'Value': 'Proxy-Dev-Network'}]",arn:aws:ec2:us-east-1:1234567890:subnet/subnet-aa71dedc
